Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
13003,Fredericton--Oromocto,David Myles,30750,61.3,Brian Macdonald,16200,32.3,Nicki Lyons-MacFarlane,908,1.8,Pam Allen-Leblanc,1568,3.1,N/A,N/A,N/A,David Myles,Liberal
13004,Fundy Royal,Bill Kudla,19103,40.1,Rob Moore,25411,53.4,Cindy Andrie,1507,3.2,Hans Johnsen,961,2,N/A,N/A,N/A,Rob Moore,Conservative
24024,Gaspésie--Les Îles-de-la-Madeleine--Listuguj,Diane Lebouthillier,21817,38.3,Jean-Pierre Pigeon,7047,12.4,Denise Giroux,1005,1.8,N/A,N/A,N/A,Alexis Deschênes,26091,45.8,Alexis Deschênes,Bloc
24025,Gatineau,Steven MacKinnon,34751,60.5,Kethlande Pierre,10982,19.1,Daniel Simoncic,1615,2.8,N/A,N/A,N/A,Richard Nadeau,9373,16.3,Steven MacKinnon,Liberal
48026,Grande Prairie,Maureen Mcleod,6946,11.8,Chris Warkentin,47904,81.7,Jennifer Villebrun,2460,4.2,N/A,N/A,N/A,N/A,N/A,N/A,Chris Warkentin,Conservative
35033,Guelph,Dominique O'Rourke,36406,54.7,Gurvir Khaira,20470,30.7,Janice Folk-Dawson,2129,3.2,Anne-Marie Zajdlik,6779,10.2,N/A,N/A,N/A,Dominique O'Rourke,Liberal
35034,Haldimand--Norfolk,Colin Walsh,26040,36.4,Leslyn Lewis,41218,57.6,Shannon Horner-Shepherd,2412,3.4,Nathan Hawkins,750,1,N/A,N/A,N/A,Leslyn Lewis,Conservative
35035,Haliburton--Kawartha Lakes,Nell Thomas,29223,38.7,Jamie Schmale,42701,56.6,Alyea Teel,2625,3.5,N/A,N/A,N/A,N/A,N/A,N/A,Jamie Schmale,Conservative
12006,Halifax,Shannon Miedema,32886,63,Mark Boudreau,9939,19.1,Lisa Roberts,8642,16.6,Amethyste Hamel-Gregory,422,0.8,N/A,N/A,N/A,Shannon Miedema,Liberal
12007,Halifax West,Lena Metlege Diab,36200,65.6,Rob Batherson,15020,27.2,Rae Tench,3083,5.6,Ron G. Parker,497,0.9,N/A,N/A,N/A,Lena Metlege Diab,Liberal
35036,Hamilton Centre,Aslam Rana,21388,37.6,Hayden Lawrence,17079,30,Matthew Green,16581,29.1,Sandy Crawley,818,1.4,N/A,N/A,N/A,Aslam Rana,Liberal
35037,Hamilton East--Stoney Creek,Chad Collins,31378,46.5,Ned Kuruc,32857,48.7,Nayla Mithani,2471,3.7,N/A,N/A,N/A,N/A,N/A,N/A,Ned Kuruc,Conservative
35038,Hamilton Mountain,Lisa Hepfner,27302,45.6,Ken Hewitt,24857,41.5,Monique Taylor,7044,11.8,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Hepfner,Liberal
35039,Hamilton West--Ancaster--Dundas,John-Paul Danko,38970,56.1,Erika Alexander,25547,36.8,Roberto Henriquez,3648,5.3,Georgia Beauchemin,829,1.2,N/A,N/A,N/A,John-Paul Danko,Liberal
35040,Hastings--Lennox and Addington--Tyendinaga,Tracey Sweeney Schenk,26745,40.4,Shelby Kramp-Neuman,36005,54.3,Ava Duffy,2351,3.5,Michael Holbrook,803,1.2,N/A,N/A,N/A,Shelby Kramp-Neuman,Conservative
24026,Hochelaga--Rosemont-Est,Marie-Gabrielle Ménard,23601,46.1,Carl Belley,5402,10.6,Julie Girard-Lemay,6671,13,Jacob Pirro,1329,2.6,Rose Lessard,13902,27.2,Marie-Gabrielle Ménard,Liberal
24027,Honoré-Mercier,Eric St-Pierre,29947,60.2,Ingrid Fernanda Megni,10692,21.5,Djaouida Sellah,1787,3.6,Gaëtan Bérard,568,1.1,Edline Henri,6435,12.9,Eric St-Pierre,Liberal
24028,Hull--Aylmer,Greg Fergus,31978,62.1,Jill Declare,8727,16.9,Pascale Matecki,2855,5.5,Frédéric Morin-Paquette,1130,2.2,Alice Grondin,6248,12.1,Greg Fergus,Liberal
35041,Humber River--Black Creek,Judy Sgro,21357,55.6,Bijay Paudel,13745,35.8,Matias de Dovitiis,2449,6.4,N/A,N/A,N/A,N/A,N/A,N/A,Judy Sgro,Liberal
35042,Huron--Bruce,James Rice,28936,41.5,Ben Lobb,37027,53.2,Melanie Burrett,2300,3.3,Gregory J McLean,927,1.3,N/A,N/A,N/A,Ben Lobb,Conservative
24029,Joliette--Manawan,Marc Allaire,17890,31.3,Pascal Bapfou Vozang Siewe,8721,15.2,Vanessa Gordon,1408,2.5,Érica Poirier,1014,1.8,Gabriel Ste-Marie,28196,49.3,Gabriel Ste-Marie,Bloc
24030,Jonquière,William Van Tassel,13172,26,Fanny Boulanger,15314,30.2,Lise Garon,932,1.8,Marie-Josée Yelle,448,0.9,Mario Simard,20247,40,Mario Simard,Bloc
59014,Kamloops--Shuswap--Central Rockies,Ken Robertson,26529,39,Mel Arnold,35556,52.2,Phaedra Idzan,3730,5.5,Owen Madden,1639,2.4,N/A,N/A,N/A,Mel Arnold,Conservative
59015,Kamloops--Thompson--Nicola,Iain Currie,24961,40.2,Frank Caputo,32008,51.5,Miguel Godau,3681,5.9,Jenna Lindley,936,1.5,N/A,N/A,N/A,Frank Caputo,Conservative
35043,Kanata,Jenna Sudds,45244,60.8,Greg Kung,26557,35.7,Melissa Simon,1702,2.3,Jennifer Purdy,835,1.1,N/A,N/A,N/A,Jenna Sudds,Liberal
35044,Kapuskasing--Timmins--Mushkegowuk,Steve Black,18366,39,Gaétan Malette,23062,48.9,Nicole Fortier Levesque,4895,10.4,N/A,N/A,N/A,N/A,N/A,N/A,Gaétan Malette,Conservative
59016,Kelowna,Stephen Fuhr,28702,48.8,Tracy Gray,27620,46.9,Trevor McAleese,1941,3.3,Catriona Wright,578,1,N/A,N/A,N/A,Stephen Fuhr,Liberal
35045,Kenora--Kiiwetinoong,Charles Fox,9454,35.2,Eric Melillo,13109,48.7,Tania Cameron,3698,13.8,Jon Hobbs,286,1.1,N/A,N/A,N/A,Eric Melillo,Conservative
46004,Kildonan--St. Paul,Thomas Naaykens,24808,44.7,Raquel Dancho,26364,47.5,Emily Clark,3863,7,N/A,N/A,N/A,N/A,N/A,N/A,Raquel Dancho,Conservative
